eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,69,2,105
1,66,11,105
2,69,2,80
3,62,7,80
4,66,11,95
5,69,2,80
6,62,7,80
7,67,0,105
8,66,11,80
9,67,0,80
10,64,9,95
11,66,11,80
12,67,0,80
13,66,11,105
14,69,2,80
15,62,7,80
16,66,11,95
17,69,2,80
18,62,7,80
19,67,0,105
20,64,9,80
21,62,7,80
22,62,7,95
23,66,11,105
24,66,11,105
25,66,11,105
26,69,2,80
27,62,7,80
28,66,11,95
29,69,2,80
30,62,7,80
31,67,0,105
32,66,11,80
33,67,0,80
34,64,9,95
35,66,11,80
36,69,2,80
37,78,11,105
38,76,9,80
39,74,7,80
40,76,9,95
41,73,6,80
42,69,2,80
43,67,0,105
44,64,9,80
45,62,7,80
46,62,7,95
47,69,2,80
48,69,2,80
49,66,11,105
50,69,2,80
51,62,7,80
52,66,11,95
53,69,2,80
54,62,7,80
55,67,0,105
56,66,11,80
57,67,0,80
58,64,9,95
59,66,11,80
60,50,7,75
61,38,7,80
62,50,7,75
63,50,7,75
64,38,7,80
65,50,7,75
66,50,7,75
67,38,7,80
68,50,7,75
69,50,7,75
70,38,7,80
71,50,7,75
72,50,7,75
73,38,7,80
74,50,7,75
75,50,7,75
76,38,7,80
77,50,7,75
78,50,7,75
79,38,7,80
80,50,7,75
81,50,7,75
82,38,7,80
83,50,7,75
84,50,7,75
85,38,7,80
86,50,7,75
87,50,7,75
88,38,7,80
89,50,7,75
90,50,7,75
91,38,7,80
92,50,7,75
93,50,7,75
94,38,7,80
95,50,7,75
96,50,7,75
97,38,7,80
98,50,7,75
99,50,7,75
100,38,7,80
101,50,7,75
102,50,7,75
103,38,7,80
104,50,7,75
105,50,7,75
106,38,7,80
107,50,7,75
108,50,7,75
109,38,7,80
110,50,7,75
111,50,7,75
112,38,7,80
113,50,7,75
114,50,7,75
115,38,7,80
116,50,7,75
117,50,7,75
118,38,7,80
119,50,7,75
120,50,7,75
121,38,7,80
122,50,7,75
123,50,7,75
124,38,7,80
125,50,7,75
126,50,7,75
127,38,7,80
128,50,7,75
129,50,7,75
130,38,7,80
131,50,7,75
132,50,7,75
133,38,7,80
134,50,7,75
135,50,7,75
136,38,7,80
137,50,7,75
138,50,7,75
139,38,7,80
140,50,7,75
141,50,7,75
142,38,7,80
143,50,7,75
144,50,7,75
145,38,7,80
146,50,7,75
147,50,7,75
148,38,7,80
149,50,7,75
150,50,7,75
151,38,7,80
152,50,7,75
153,50,7,75
154,38,7,80
155,50,7,75
156,50,7,75
157,38,7,80
158,50,7,75
159,50,7,75
160,38,7,80
161,50,7,75
162,50,7,75
163,38,7,80
164,50,7,75
165,50,7,75
166,38,7,80
167,50,7,75
168,50,7,75
169,38,7,80
170,50,7,75
171,50,7,75
172,38,7,80
173,50,7,75
174,50,7,75
175,38,7,80
176,50,7,75
177,50,7,75
178,38,7,80
179,50,7,75
180,50,7,75
181,38,7,80
182,50,7,75
183,50,7,75
184,38,7,80
185,50,7,75
186,50,7,75
187,38,7,80
188,50,7,75
189,50,7,75
190,38,7,80
