,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,offset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,0.5,0,0.0,2.0,0,0,0,0,1,0,0,0,0
1,62,30,2,1.0,1,2.0,2.0,0,0,0,0,1,0,0,0,0
2,66,32,6,0.5,1,4.0,2.0,0,4,2,4,3,4,2,1,1
3,69,34,9,0.5,1,6.0,2.0,0,7,4,7,5,3,2,1,2
4,74,37,2,1.0,2,8.0,4.0,0,12,7,0,1,5,3,1,3
5,69,34,9,0.5,2,12.0,2.0,0,7,4,7,5,-5,-3,-1,2
6,69,34,9,1.0,3,14.0,2.0,0,7,4,7,5,0,0,0,2
7,67,33,7,0.5,3,16.0,2.0,0,5,3,5,4,-2,-1,-1,1
8,66,32,6,0.5,3,18.0,2.0,0,4,2,4,3,-1,-1,-1,0
9,66,32,6,1.0,4,20.0,2.0,0,4,2,4,3,0,0,0,0
10,64,31,4,0.5,4,22.0,2.0,0,2,1,2,2,-2,-1,-1,-1
11,64,31,4,0.5,4,24.0,2.0,0,2,1,2,2,0,0,0,-1
12,62,30,2,1.0,5,26.0,2.0,0,0,0,0,1,-2,-1,-1,-2
13,66,32,6,0.5,5,28.0,2.0,0,4,2,4,3,4,2,1,-1
14,69,34,9,0.5,5,30.0,2.0,0,7,4,7,5,3,2,1,0
15,74,37,2,1.0,6,32.0,4.0,0,12,7,0,1,5,3,1,1
16,69,34,9,0.5,6,36.0,1.0,0,7,4,7,5,-5,-3,-1,0
17,69,34,9,0.25,6,37.0,1.0,0,7,4,7,5,0,0,0,0
18,69,34,9,1.0,7,38.0,2.0,0,7,4,7,5,0,0,0,0
19,67,33,7,0.5,7,40.0,2.0,0,5,3,5,4,-2,-1,-1,-1
20,66,32,6,0.5,7,42.0,2.0,0,4,2,4,3,-1,-1,-1,-2
21,66,32,6,1.0,8,44.0,2.0,0,4,2,4,3,0,0,0,-2
22,64,31,4,0.5,8,46.0,2.0,0,2,1,2,2,-2,-1,-1,-3
23,69,34,9,0.5,8,48.0,2.0,0,7,4,7,5,5,3,1,-2
24,71,35,11,1.0,9,50.0,2.0,0,9,5,9,6,2,1,1,-1
25,71,35,11,0.5,9,52.0,2.0,0,9,5,9,6,0,0,0,-1
26,69,34,9,0.5,9,54.0,1.0,0,7,4,7,5,-2,-1,-1,-2
27,69,34,9,0.25,9,55.0,1.0,0,7,4,7,5,0,0,0,-2
28,71,35,11,1.0,10,56.0,2.0,0,9,5,9,6,2,1,1,-1
29,71,35,11,0.5,10,58.0,2.0,0,9,5,9,6,0,0,0,-1
30,69,34,9,0.5,10,60.0,2.0,0,7,4,7,5,-2,-1,-1,-2
31,71,35,11,1.0,11,62.0,2.0,0,9,5,9,6,2,1,1,-1
32,71,35,11,0.5,11,64.0,2.0,0,9,5,9,6,0,0,0,-1
33,73,36,1,0.5,11,66.0,2.0,0,11,6,11,7,2,1,1,0
34,74,37,2,1.0,12,68.0,4.0,0,12,7,0,1,1,1,1,1
35,69,34,9,0.5,12,72.0,2.0,0,7,4,7,5,-5,-3,-1,0
36,74,37,2,1.0,13,74.0,2.0,0,12,7,0,1,5,3,1,1
37,73,36,1,0.5,13,76.0,2.0,0,11,6,11,7,-1,-1,-1,0
38,71,35,11,0.5,13,78.0,2.0,0,9,5,9,6,-2,-1,-1,-1
39,69,34,9,1.0,14,80.0,2.0,0,7,4,7,5,-2,-1,-1,-2
40,74,37,2,0.5,14,82.0,2.0,0,12,7,0,1,5,3,1,-1
41,66,32,6,0.5,14,84.0,1.0,0,4,2,4,3,-8,-5,-1,-2
42,67,33,7,0.25,14,85.0,1.0,0,5,3,5,4,1,1,1,-1
43,69,34,9,1.0,15,86.0,2.0,0,7,4,7,5,2,1,1,0
44,67,33,7,0.5,15,88.0,2.0,0,5,3,5,4,-2,-1,-1,-1
45,64,31,4,0.5,15,90.0,2.0,0,2,1,2,2,-3,-2,-1,-2
46,62,30,2,1.0,16,92.0,4.0,0,0,0,0,1,-2,-1,-1,-3
