,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,offset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,67,33,7,0.5,0,0.0,1.5,0,0,0,0,1,0,0,0,0
1,71,35,11,0.125,0,1.5,0.5,0,4,2,4,3,4,2,1,1
2,74,37,2,1.0,1,2.0,3.0,0,7,4,7,5,3,2,1,2
3,76,38,4,0.25,1,5.0,1.0,0,9,5,9,6,2,1,1,3
4,74,37,2,0.5,1,6.0,1.5,0,7,4,7,5,-2,-1,-1,2
5,72,36,0,0.125,1,7.5,0.5,0,5,3,5,4,-2,-1,-1,1
6,72,36,0,1.0,2,8.0,2.0,0,5,3,5,4,0,0,0,1
7,71,35,11,0.5,2,10.0,2.0,0,4,2,4,3,-1,-1,-1,0
8,67,33,7,0.5,2,12.0,1.5,0,0,0,0,1,-4,-2,-1,-1
9,71,35,11,0.125,2,13.5,0.5,0,4,2,4,3,4,2,1,0
10,74,37,2,1.0,3,14.0,3.0,0,7,4,7,5,3,2,1,1
11,74,37,2,0.25,3,17.0,1.0,0,7,4,7,5,0,0,0,1
12,76,38,4,0.5,3,18.0,1.5,0,9,5,9,6,2,1,1,2
13,74,37,2,0.125,3,19.5,0.5,0,7,4,7,5,-2,-1,-1,1
14,69,34,9,1.0,4,20.0,4.0,0,2,1,2,2,-5,-3,-1,0
15,69,34,9,0.5,4,24.0,1.5,0,2,1,2,2,0,0,0,0
16,71,35,11,0.125,4,25.5,0.5,0,4,2,4,3,2,1,1,1
17,72,36,0,1.0,5,26.0,2.0,0,5,3,5,4,1,1,1,2
18,76,38,4,0.5,5,28.0,2.0,0,9,5,9,6,4,2,1,3
19,74,37,2,0.5,5,30.0,1.5,0,7,4,7,5,-2,-1,-1,2
20,72,36,0,0.125,5,31.5,0.5,0,5,3,5,4,-2,-1,-1,1
21,71,35,11,1.0,6,32.0,2.0,0,4,2,4,3,-1,-1,-1,0
22,74,37,2,0.5,6,34.0,2.0,0,7,4,7,5,3,2,1,1
23,72,36,0,0.5,6,36.0,1.5,0,5,3,5,4,-2,-1,-1,0
24,71,35,11,0.125,6,37.5,0.5,0,4,2,4,3,-1,-1,-1,-1
25,69,34,9,1.0,7,38.0,2.0,0,2,1,2,2,-2,-1,-1,-2
26,72,36,0,0.5,7,40.0,2.0,0,5,3,5,4,3,2,1,-1
27,71,35,11,0.5,7,42.0,1.5,0,4,2,4,3,-1,-1,-1,-2
28,69,34,9,0.125,7,43.5,0.5,0,2,1,2,2,-2,-1,-1,-3
29,67,33,7,1.0,8,44.0,4.0,0,0,0,0,1,-2,-1,-1,-4
